"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","kyuRq","dSlJg","dSlJg 2","znYl0","znYl0 2"
"https://lh3.googleusercontent.com/a-/ALV-UjWKZcAG6me97D-CU72LC-RQSpqWdbR7fd5b3CGcrDh3myOVnI-g=w41-h41-p-rp-mo-ba4-br100","Alifa Tri Febrianti","Local Guide · 56 reviews · 102 photos","3 weeks ago","Pengalaman pertama kali saya kesini cukup mengesankan, saya kesini hari Sabtu di pagi hari namun masih sangat sepi. Tidak ada pengunjung selain saya, tapi nyaman sekali rasanya tenang bisa menikmati ombak dan keindahan pantai Tanjung Kasuari ini. Tapi sayang nya pantai nya agak kotor, karena banyak sekali rumput laut di bibir pantai. Bayarnya per motor Rp 20.000, jadi dihitung per kendaraan bukan per orang. Teman-teman bisa piknik juga disini, dan tenang aja sudah disediakan bangku dan meja  kayu untuk para pengunjung. Hati hati juga karena banyak anjing berkeliaran, tapi sepengalaman saya tetap aman. Jangan lupa bawa bekal karena masih jarang yang berjualan disana.

Saya juga membahas detail mengenai Pantai Tanjung Kasuari Sorong di youtube homekelly search saja sesuai judul ""Pesona Pantai Tanjung Kasuari Sorong Papua Barat Daya | Wisata Alam 🌿🍃 Silakan bila ingin mampir. Jika video tersebut bermanfaat jangan lupa subscribe, karena saya akan lebih banyak eksplor kota Sorong. Terima kasih 🙏

20.04.2024","See translation (English)","","","Share",""
"https://lh3.googleusercontent.com/a-/ALV-UjXL8EbpJknjccT8p-6vouF2or3KJtvaGY2W4qF3vQdYFRZKtIMFpw=w41-h41-p-rp-mo-ba6-br100","septely wangke","Local Guide · 75 reviews · 2,646 photos","3 months ago","Suka dengan pemandangan alam, lautnya dan sangat cocok untuk acara outdoor.Sebagai masukan,kiranya perlu diperindah lagi semua fasilitas yg ada disana🙏 …","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjWwOPdJr4aJcQtHnzFSih4sr-2p9_tgHzIeS0U5aUYijcmxifqi=w41-h41-p-rp-mo-ba3-br100","royikin Choirul","Local Guide · 23 reviews · 15 photos","a month ago","Pantainnya bagus, cuma coba tolonglah para oknum pengelola pantai  itu Sampah yg sudah di kumpulkan jangan di buang ke laut, jagalah laut kita.","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjXjGI44QOv90fPRUD2e2WUsiAl8pVEEHB7XJ7t4BlW439occLasCQ=w41-h41-p-rp-mo-ba6-br100","Ruba Nurzaman","Local Guide · 250 reviews · 4,079 photos","2 years ago","Pantainya bersih dengan ombak yang kecil. Sangat cocok untuk anak-anak jadi lebih aman. Hanya mungkin efek pandemi jadi sepi pengunjung","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjW6H8zyzNVLkBphp__lg9XRpOjJipiiByjMjTKV2vc5u2ljmEN18A=w41-h41-p-rp-mo-ba4-br100","Lia Fitri","Local Guide · 48 reviews","7 months ago","Tempat yang cocok untuk menikmati keindahan alam. Saran saya agar pengunjung tidak membuang sampah sembarangan & tolong pihak pengelola pantai untuk membersihkan area tempat wisata serta menyediakan tong sampah, agar sampah dapat dikelola dengan baik.","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjVIza2PUv_ZGH41iJGP1NKjmwG7voqcw_Q0xXPx9O-zhq6M7o8ozg=w41-h41-p-rp-mo-ba4-br100","Anty Susilo","Local Guide · 39 reviews · 38 photos","a year ago","Mayan bersihh
Kamar mndii okelaaah
Yg paling pnting no guguk😂😂 …","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjUOeociXFTItLLIAlQzG-HRkOv0mW1p7L21I5Tv04OO7mYHWYU=w41-h41-p-rp-mo-ba5-br100","Rachman Ali","Local Guide · 166 reviews · 135 photos","a year ago","Pantai yang sangat menarik namun butuh pengelolaan yang lebih profesional","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjVaWcB4Jg7rlO_xzIBBtX5GZwzjKkTn451tSHz3vYIADb-EsU4l=w41-h41-p-rp-mo-ba3-br100","elsa","Local Guide · 62 reviews · 12 photos","2 years ago","Jelek banget sumpahh. Kalian pemilik tempat wisata tanjung kasuari harusnya bisa lebih bersih lagi merawat tempatmu. Sdh tarif masuk motor 30rb mana toilet bayar lagi 5rb airnya mesti timba lagi di sumur. Kotor lagi. Tolong yaa.. ini review masukan buat pemilik tempat wisata penduduk lokal situ coba lebih bersih lagi, sampah jangan buang ke laut, bayar lah tukang sampah perbulan biar bs angkut sampah2 pantai jgn dibakar atau dibuang ke laut, sdh airnya keruh ga ada tempat berteduhnya. Pokoknya ga rekomend deh.","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjUUXZkdzc0nYubS7eixt2w4JP9lOJZoajv2Txm-quY5PRmNqV1O=w41-h41-p-rp-mo-ba4-br100","Mashudi Adi Nugroho","Local Guide · 57 reviews · 14 photos","10 months ago","Pantainya kotor. Sangat disayangkan, sampah yang sudah dikimpulkan dari para pengunjung jistru dibuang ke laut oleh pengelola pantai.","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjV_GMK1dD68ZZRETkay6GjmHbrwW8cHW-pqeuvMSIrs9yHgTTk=w41-h41-p-rp-mo-ba3-br100","Shinta A","Local Guide · 57 reviews · 79 photos","2 years ago","Perlu sering dibersihkan sampa2nya, disediakan tempat sampah
Harga masuk/toilet perlu disesuaikan dg baik dan konsisten","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjX-oGPzTgESS2R8PPondrcWpm6w33Y2X2XY_-jhjrqjvsp7oSeF=w41-h41-p-rp-mo-br100","Herlina Rivai","3 reviews · 17 photos","a year ago","Buruk banyak pungli..
Tidak sama yg di sebelah tiket masuk sudah include toilet dan honai","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjXCWueho2P02gxGTzTSX0GvOQ6-wU44nOkp5qRve2nGkwn8fFMK=w41-h41-p-rp-mo-ba4-br100","Ashoei 789","Local Guide · 53 reviews · 95 photos","2 years ago","Pantai yg indah dipinggir kota Sorong...
Bagi kamu yg ingin keluar dr hingar bingarnya kota.. pantai ini sangat cocok","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjWEwzxSCKkXBlAdTkkL2HgXmG7gc9nGCb2jba4XXkdU-nq-ZQ0=w41-h41-p-rp-mo-br100","Night Fury","2 reviews","a year ago","pelayanan tidak ramah, ibu perental ban memaki hingga mengancam memukul karena masalah sepele","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjUZPAGjgFTE0DSSFE-W8w4EbV1IZkfDCLB_FbnD-SLIY1cjqS1_=w41-h41-p-rp-mo-br100","Kang Udin Saja","33 reviews · 64 photos","a year ago","Tempat yang nyaman untuk bersantai, walaupun air nya sering banyak sampah","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a/ACg8ocJy4-oKfk9XXsoGwZb0uptY-9Gdvt2OnqC6DB0bWs1iFKMcNw=w41-h41-p-rp-mo-ba4-br100","S MAN","Local Guide · 106 reviews · 48 photos","a year ago","Wisata pesisir pantai dengan pemandangan asri dan pasir putih dengan harga terjangkau","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a/ACg8ocI6hnqyrD-Vg9IaMtDgJJ8C0XBkE4pB27_Y7-LEWzPnXMqJnXc=w41-h41-p-rp-mo-br100","Kabul Budiono","10 reviews · 5 photos","11 months ago","Gak lmyan jauh dr kota sorong,pasire putih","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a/ACg8ocJuBCcHCjbFF6n4ww0zHRiAis4s-d0bQFFBQsMxXUXzeXzmBk8e=w41-h41-p-rp-mo-ba4-br100","Hans Gustaffian","Local Guide · 44 reviews · 217 photos","2 years ago","Mantap","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjV9qKeEE3mjZhsWT81lOMWW6JWx9TD76oJckiHAFOJ3y-P2hgy1=w41-h41-p-rp-mo-ba2-br100","Everd Mambrasar","Local Guide · 21 reviews · 7 photos","11 months ago","The best","","","","Share","Like"
"https://lh3.googleusercontent.com/a/ACg8ocIPPb38IFZ0ZQjcjolMSx1xc9M_Y8VDoTPIekIcfGFPvBfnTw=w41-h41-p-rp-mo-br100","Sahid Kaconk 32","1 review · 49 photos","2 years ago","Bagus,tapi harus lebih bersih lagi dan di jaga kebersihan nya,","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjVth5eg9_BDwetFqtOStXAJGjy6vrNdbUcVBKw-MgKQlBkUtd5z=w41-h41-p-rp-mo-br100","Roy Woodflooring","36 reviews · 129 photos","3 years ago","👌👍 …","","","","Share","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjUGBJumnZTDyT470580QC7yEYuf0QGv3IrO4LJD9ntABE25xzLemw=w41-h41-p-rp-mo-br100","Memet Iqbal Usman","390 reviews","3 years ago","Cuma mau bilang ""riwayat mu kini""
Sudah kurang terawat.","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a/ACg8ocIMghJOst-cLetprl4av9XUgf4XuZcN9bRgTZz6c9Tq21j9qnL-=w41-h41-p-rp-mo-br100","Restu Febriyanto","7 reviews · 17 photos","2 years ago","pantai nya bersih","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjVlcbk-4Sw-NJar24-88yM-rXf1Blu1sMK-9OQ0nu48OFKucT8=w41-h41-p-rp-mo-ba3-br100","lutfi gustiar","Local Guide · 50 reviews · 5 photos","2 years ago","The good weekend deal 😂 tempat santai di pantai …","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a/ACg8ocIF6sTXA1LW5k4jgw_LQQK_gEcswWGRGUpzrsZY2uVuC8hs-g=w41-h41-p-rp-mo-ba3-br100","Caroline Tupamahu","Local Guide · 31 reviews · 31 photos","2 years ago","Nice view...","","","","Share","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjXhnIa_fE1MsDh8IGO1aXftWky230qKLqiRhJWllUvM-jzjBS0s=w41-h41-p-rp-mo-ba4-br100","Rudy Ramli","Local Guide · 92 reviews · 4 photos","9 months ago","Tempat rekreasi 😁👍 …","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjVXv6Rl5uEdP_pXt-Xjwa3_9FzJdByzzh8Z9BcnZtWONhyFMFvG=w41-h41-p-rp-mo-br100","Marini Matayane","11 reviews · 7 photos","2 years ago","Bagus","See translation (English)","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjWjt8ku5c5ruJHtS1EJjRL8fYEgoCXo4h9X4f45N3kLtUzuxdEc=w41-h41-p-rp-mo-br100","tri wahono","4 reviews · 15 photos","2 years ago","Anak-anak senang","See translation (English)","","","Share","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjUY-CCN7Q1BSG3FMRpYGypXZoRDWve6GuF-4chyJ_qbfUDZF6Fx=w41-h41-p-rp-mo-ba4-br100","Shakila Nayla","Local Guide · 149 reviews · 160 photos","2 years ago","Wow","","","","Like","Share"
"https://lh3.googleusercontent.com/a-/ALV-UjWJ_rgVzPQP9KnKgZiiocZU8Yi7AKECH3CoziOkZEYDl5Eoucm4=w41-h41-p-rp-mo-ba4-br100","Soni Irawan","Local Guide · 69 reviews · 49 photos","5 months ago","Best place for healing, after cycling it's best to drink coffee or young coconut, the breeze blowing....what other pleasures can be denied","See original (Malay)","","","Share","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjX9taIWPefEMCl2-fKz1XIip_sLD-P9qt2M7i4rusT1ezrwMY6g4w=w41-h41-p-rp-mo-ba3-br100","Hanye Po","Local Guide · 29 reviews · 71 photos","2 years ago",".I would love to be able to bring my family and friends for a vacation here..☺️","See original (Javanese)","","","Share","Like"
"https://lh3.googleusercontent.com/a-/ALV-UjXcu9ZIzRxl6yk8hVJECMxYwObs6jmKWlC0v5T5oiHm26dY6Df3=w41-h41-p-rp-mo-ba4-br100","Ui Hendra","Local Guide · 30 reviews · 49 photos","3 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW0t3Rs7o1iPWajQNyr1uVWO-eo1w4sb4azTcjgQJI7vcy0Jrxbrg=w41-h41-p-rp-mo-br100","Tety Kusuma dewi","1 review","a month ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWrabbRnO996kD-NC3eOk0-9ngGXoDpYMpAm-FZcsiP1pmok9kl=w41-h41-p-rp-mo-ba2-br100","Indra Pratama Anugerah","Local Guide · 7 reviews · 13 photos","7 months ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW-w2CzYbUwJQpyokKDiLE7yQzEPi299pZBXuWT6E2p_EF975K6=w41-h41-p-rp-mo-ba3-br100","Tardi Olin","Local Guide · 5 reviews · 42 photos","7 months ago","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJQj8ib7lGaST7kVF7BZdHXJa3rUaOk1gz4zibwfRIMEQpj7g=w41-h41-p-rp-mo-br100","Teguh Iriyanto","","8 months ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWG9knDbFlnRvqym6ksDgGYwppeWmrDi_mQjcEGMWzPjPvDW6Rl=w41-h41-p-rp-mo-ba2-br100","joko soko","Local Guide · 3 reviews · 8 photos","8 months ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV7zTIm3iB2sri1_kF25Ll-oXjgVyrNLfoAHVlSvrekwFktLucU=w41-h41-p-rp-mo-ba3-br100","3 Yuli","Local Guide · 6 reviews · 11 photos","9 months ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXtSZQO329Nl4ZnzsgdGSUNawekb2mCIqUPTPc1bBD6eBjIjdQ=w41-h41-p-rp-mo-br100","nandin _official","","11 months ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjViiBQsYCeI3IdmZwN51z7TISS-wPE_w5UJU93gCgsDG1Y1e-604A=w41-h41-p-rp-mo-br100","budi sulistiono","2 reviews","11 months ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVWccZg4BF3WNzShlqm29_qoFRAxawMkF1GU2W_IW3MaHHOHTU=w41-h41-p-rp-mo-br100","lim","","a year ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX6udA4DSTSf9wPzrG5MSoRwT99_NaBrHLe3DaDC9HVPbIvsUS1=w41-h41-p-rp-mo-ba4-br100","Jahudi Ndean","Local Guide · 57 reviews · 125 photos","a year ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjV3VGbWM8oA6rOXt7iP9RmUpK2AKTQhYhBnL6dl88OixXANxcUg=w41-h41-p-rp-mo-ba2-br100","Daniel Daleta","Local Guide · 1 review","a year ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXlJOcea98MS-31YpJJa6p_kGKZQcszpQl9QcUGXGsyVgML2qt5=w41-h41-p-rp-mo-ba3-br100","Eka Budiarti Utami","Local Guide · 4 reviews · 2 photos","a year ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjX91gMrTDEPKDFP6lsvzLK6pnWPbCLnuR4Jd9git5DCUGNsLDT7=w41-h41-p-rp-mo-br100","Roza Aminuddin","2 reviews · 2 photos","a year ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVkFnXpoOw_OCXQnNKB6DPAFLPdKl24hIQ0W2iFMqVFyYMr62A=w41-h41-p-rp-mo-ba4-br100","Yudi Kristiawan","Local Guide · 23 reviews · 212 photos","a year ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVwK47Ics08_VtK2jlL9DHeOAQ_OpR75GxBJ9UCEGnHvUUE110=w41-h41-p-rp-mo-ba2-br100","Susilo Herlambang","Local Guide · 7 reviews · 16 photos","a year ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUbBHppOKorfpz4_QaI7YYtfw2VmVJ1FCnBuxRS00L9K_PmOVcq=w41-h41-p-rp-mo-br100","Sahril Rusdin","1 review · 2 photos","2 years ago","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocKxeXLs61jdc0S2Wtr8yT3LJwOcS0CDlzU78L2ytQSeQzdc-A=w41-h41-p-rp-mo-br100","Dian Sr","1 review · 1 photo","2 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU4tsKrMyRz60_19ZPBjQRO0aZTS1wGSgxczOswGvJS93dQNxQ=w41-h41-p-rp-mo-ba2-br100","Irwanto Saputra","Local Guide · 3 reviews · 31 photos","2 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWJUfoaFszmJWwFsJTjJmKbgZKaaf040iS0w2Ib5fPqLdzNJ_A1=w41-h41-p-rp-mo-br100","DanZ_","3 reviews · 9 photos","2 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU5RSXN_PTaG5sJnzrAWyVetq92H8SL3pGMoNAweWsLMk768RbE=w41-h41-p-rp-mo-br100","Fiqranth","2 photos","2 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUoauQ_URORhjEVDNXKHXQTDPsUhx8ZBgzlbB6jwsri1WScwcTFag=w41-h41-p-rp-mo-ba4-br100","Nico Wamafma","Local Guide · 31 reviews · 143 photos","2 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXCiZvT89-LB5BfiQSezKatXT9zQAiQ2yBCr6EJqh2pkxaXXXQ5=w41-h41-p-rp-mo-br100","Murotus Sa'diyah","1 review","2 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWixoNTfHfcGK_WFU1ZliDznEbNsSFJZIjVV1nYH2QEupIxSZY_VQ=w41-h41-p-rp-mo-ba5-br100","Irpa Papalangi","Local Guide · 33 reviews · 454 photos","2 years ago","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocL4zANoIJ9mmtJ6i5lPPczTydITKch_12mFxqb-HSnMMsJuWAt6=w41-h41-p-rp-mo-ba3-br100","Miracle Quest","Local Guide · 3 reviews · 42 photos","2 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVeYkfo97p92Z898njYoTpRRv1vCa9dSnd0s32wM3JIHYaJlZ58=w41-h41-p-rp-mo-br100","aditya eranto","13 reviews · 2 photos","2 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXmQeBxIeBMNtVHZTchmzWrjmhmt70naTo1FBXcwGs96I5MoOE_xQ=w41-h41-p-rp-mo-br100","Novita Damaryanti","1 review · 2 photos","2 years ago","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJg8p1Ho6UCeYtX7r32tVN_K4RmG5taZlL7EuLq3y7zBv4CQQ=w41-h41-p-rp-mo-br100","Setiawan Baharsyah","1 review · 11 photos","2 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWwgwNEGcAdtIXSuhde6HU6I_zEEysn2C7r41FX3GTNwAMetR7n=w41-h41-p-rp-mo-ba3-br100","haritri prasetyo","Local Guide · 19 reviews · 125 photos","3 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVH_dvFiiavXOtlvaENmggrYxvQMoeU2fhnK-_UEGTW3oNKPeNa=w41-h41-p-rp-mo-br100","Ade Aman","37 reviews · 68 photos","3 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjU2oxWV0M4nQXZ5_4R1pCql-VOCl2s70cA76laqHtDOjshHWDws=w41-h41-p-rp-mo-ba3-br100","Annisa Wuri Pramesti Laiya","Local Guide · 4 reviews · 56 photos","3 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXn62j2yqHKDgGapx_kEY3yWE7hlDddP2YJAoEjmoozLaL8INRnmg=w41-h41-p-rp-mo-ba6-br100","AZZAM 1126.","Local Guide · 26 reviews · 2,861 photos","3 years ago","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJmMDHrJzSZjKlZQH7O05H7k340FoxYs3A6wIDNwyeUCOpOAg=w41-h41-p-rp-mo-ba4-br100","Adelia Layzanda","Local Guide · 7 reviews · 60 photos","3 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXZO9cjFLIMKoqkCWfwrDYAnA7RKXOpEUEUuKre3aFXdVwlB29r=w41-h41-p-rp-mo-ba4-br100","Edy Susilo","Local Guide · 67 reviews · 213 photos","3 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXYJb1R9YCFj_qFyDTdlXQB-2yRCICECINApYMe4dm1GcscXMJc=w41-h41-p-rp-mo-br100","maradona don","5 reviews","3 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjW89sjzV38vRVEg90S1zo4XJ_ipxLhmLaMyzyaZtoLCREw3ibOL=w41-h41-p-rp-mo-br100","Syaiful Alif Kurniawan","2 reviews · 17 photos","3 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUrkQ7FZdRvusiHp7CBvOKuuAIkT8H7z0gHtUkUg2oE9rEX3wW-=w41-h41-p-rp-mo-br100","aldha santoso","3 reviews · 64 photos","3 years ago","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocKVetfDMDoJShJGWU8MDAVV6Q8A8UxulqZX3FwkiR6k02yL6Q=w41-h41-p-rp-mo-br100","benjamin ballay","1 review","3 years ago","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocKk5v204v1MQdOO6jJR4nTLBVKJ7j5yAEBbVoQ8U5SclbbE9Os=w41-h41-p-rp-mo-br100","Deborah Novita","3 reviews","3 years ago","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUsstJm8jyrY4dBmRxj4tzDsIUbz_EtfyWToawfhYAJSOZprDpZ=w41-h41-p-rp-mo-ba5-br100","Mia Ohoitimur","Local Guide · 69 reviews · 158 photos","3 years ago","","","","","",""